kelime,frekans
tevafuk,227
şakirt,159
ali,157
hakikat,148
nur,143
ehl,140
risale,137
fıkra,134
hazret,131
keramet,128
beyan,123
kuraniye,122
yı,119
suret,113
alem,112
rahmet,97
ve,92
cihet,92
imam,91
kuran,88
emare,82
iman,76
hak,76
azam,70
gavs,67
mana,66
ısparta,64
maneviye,62
nazar,62
mazhar,60
münasebet,60
şedde,60
işari,59
umum,59
makam,59
hayat,58
inayet,58
kaside,58
ol,56
cifir,56
cifri,56
umumi,56
ilahiye,53
medar,52
nev,52
karine,51
ism,50
hakaik,50
ahir,48
manevi,48
müellif,47
emin,47
imaniye,47
kat,47
lem,46
gaybi,45
dalalet,45
gaybiye,45
tefsir,45
feyzi,44
hikmet,44
ilahi,43
şeyh,43
hz,42
caz,42
kudsi,42
işarat,41
sair,41
sure,41
cüz,41
cenab,41
ihtar,41
hususi,40
intişar,40
izhar,39
celcelutiye,39
ahmediye,39
tenvin,38
vesselam,38
aleyhissalatü,38
esrar,37
mucize,37
hakim,37
burhan,37
ziyade,37
ima,37
hizmet,37
hafız,36
kübra,36
nam,35
hüsrev,35
hadis,35
hadsiz,35
külli,34
zerre,34
harb,34
lisan,34
mu,34
binaen,34
tabir,33
kainat,33
delalet,33
remzen,33
fitne,32
hadise,32
said,32
zahir,32
kanaat,32
ilm,32
telif,32
hakiki,31
nevi,31
islamiye,31
leyle,30
aziz,30
sarahat,30
kemal,29
arz,29
fevkalade,29
esma,29
islam,29
şerif,29
kitab,29
geylani,28
beşer,28
ahmed,28
latif,28
ayat,27
cereyan,27
kudsiye,27
ekser,27
ihtiyar,27
istikamet,27
ulum,27
cizat,27
hüccet,27
remiz,26
biçare,26
neşr,26
mürid,26
ihbar,26
müteaddit,26
zat,25
muhafaza,25
acip,25
huruf,25
hal,25
saadet,25
ihsan,25
zulümat,25
tarih,25
asr,24
ayet,24
iltifat,24
mevlana,24
ulema,24
sırr,24
şua,24
süleyman,24
ebcedi,23
musibet,23
şahs,23
vecih,23
feyz,23
azime,23
elhasıl,23
mucizül,22
mezkur,22
ayetü,22
semavi,22
anh,22
risalesi,22
velayet,22
gayb,22
taife,22
remz,22
cilve,22
zuhur,22
mücahede,22
tarikat,21
sabri,21
zelzele,21
arabi,21
teyid,21
hengam,20
istikbal,20
envar,20
irade,20
mukabil,20
tasdik,20
mutlak,20
kuvve,20
efrad,20
işaret,20
sadık,20
şeriat,20
mübarek,20
hadisat,20
ferman,20
ahirzaman,20
tahkiki,20
kelam,20
küre,19
hilafet,19
ecza,19
vakıa,19
evliya,19
nuriye,19
tenvir,19
lafz,19
ebced,19
rahim,19
hususan,19
dikkat,19
risaletü,19
mertebe,19
istanbul,19
kıymettar,19
tevhid,18
mehmed,18
mirac,18
sıddık,18
asır,18
rabbaniye,18
ittifak,18
nükte,18
hüsn,18
bilhassa,18
muannid,18
düstur,18
cihan,18
üstad,18
kudret,18
sarih,18
zulmet,18
bid,18
tezahür,17
halis,17
ehemmiyet,17
mü,17
ihlas,17
radıyallahu,17
şakird,17
mecazi,16
sünnet,16
fatiha,16
rabbani,16
hizbü,16
ekber,16
kurani,16
cemaat,16
münacat,16
menba,16
kesretli,16
celb,16
tesbihat,16
istinad,16
mukabele,15
sözler,15
makbuliyet,15
alakadar,15
manen,15
izale,15
naşir,15
bekir,15
müstakim,15
nimet,15
letafet,15
kerametkarane,15
refet,15
halet,15
muhalif,15
hıfz,15
risalet,15
müceddid,15
nefs,15
sitte,14
mevt,14
meal,14
inşaallah,14
barla,14
beşaret,14
sadakat,14
külliyet,14
meşhure,14
rüştü,14
mütalaa,14
intizam,14
osman,14
mutabık,14
izah,14
masum,14
vuku,14
hesab,14
himmet,14
zerrat,14
min,14
maişet,14
irşad,14
gaflet,14
vazife,14
vesile,13
zemin,13
muhtelif,13
sürur,13
zarfında,13
nüsha,13
malum,13
inayat,13
remzi,13
süryani,13
daire,13
sena,13
tevafukat,13
tefekkür,13
bereket,13
ezcümle,13
sekine,13
eser,13
tılsım,13
ümmet,13
def,13
gayet,13
hadim,13
selamet,13
el,13
ikram,13
hulusi,13
kamer,13
aleviye,13
mes,13
zahiren,13
makbul,13
temsil,13
al,13
takdir,13
münafık,12
mustafa,12
fevkinde,12
hitap,12
müşahede,12
kaide,12
molla,12
muhammediye,12
bedi,12
siracü,12
yekun,12
gavsiye,12
azim,12
ümmi,12
tasavvur,12
me,12
keşf,12
muvafık,12
ebedi,12
dem,12
su,12
inkişaf,12
müteveccih,12
nurani,12
dava,12
ehemmiyetli,12
resul,12
kastamonu,12
iştirak,12
zaman,12
din,12
tevfik,12
haşr,12
amin,12
tahsin,12
ibrahim,12
efendi,12
bey,12
ilham,11
anadolu,11
hilaf,11
gazali,11
tahdis,11
dehşetli,11
tecelli,11
nümune,11
fütuhat,11
vahdet,11
şuur,11
mefhum,11
seniye,11
denizli,11
lillahilhamd,11
sema,11
mahfuz,11
iştihar,11
evvel,11
takviye,11
has,11
şehadet,11
rumi,11
heyet,11
tahakkuk,11
cümle,11
tesadüf,11
tahribat,11
murad,11
zahiri,11
esaret,11
sadıka,11
galebe,11
enaniyet,10
serbestiyet,10
erkan,10
ekrem,10
teveccüh,10
şah,10
zındık,10
emmare,10
namında,10
mürşid,10
şükür,10
vird,10
men,10
mevcudat,10
belağat,10
azamet,10
mukteza,10
istinaden,10
kesb,10
caziye,10
ziya,10
semavat,10
zındıka,10
hülagu,10
zikr,10
şerait,10
mahiyet,10
siyaset,10
meyusiyet,10
fani,10
şark,10
liyakat,10
nokta,10
ilmiye,10
iye,10
dirhem,10
dünya,10
tarik,10
teşci,10
kalb,10
amme,10
sevk,10
acz,10
manidar,10
alamet,10
şer,10
hususiyet,10
maruz,10
nebeviye,10
avam,10
sultan,10
ilim,9
hasiyet,9
şeair,9
mecmua,9
rüya,9
kelimat,9
ecnebi,9
letaif,9
tashih,9
vech,9
tadad,9
ya,9
marifet,9
nakşi,9
bela,9
mul,9
ezel,9
hamd,9
mebde,9
tekemmül,9
hissiyat,9
itikad,9
tatbik,9
mahrem,9
fahr,9
zaaf,9
nefer,9
münasebettar,9
harika,9
kafi,9
sırat,9
ayn,9
elif,9
taarruz,9
ebediye,9
cazibedar,9
ekseriyet,9
şübehat,9
hiddet,9
muvafakat,9
feylesof,9
hayret,9
