kelime,frekans
hakikat,124
hayat,116
saadet,107
elem,107
cihet,105
ehl,98
alem,96
dalalet,93
kainat,90
nefs,86
ve,82
muhabbet,79
hikmet,79
suret,78
rahmet,72
iman,70
hakiki,69
nazar,68
hadsiz,65
beşer,65
nihayetsiz,59
ahiret,56
hak,54
ebedi,54
halık,54
acz,54
nimet,54
esma,53
yı,52
cüz,52
baki,51
zeval,50
hakim,49
dua,49
kat,48
kuran,47
sefahet,46
nur,46
ebediye,45
gaflet,44
mevcudat,43
ilahiye,42
fani,42
kudret,41
ubudiyet,41
cenab,40
biçare,40
elim,39
zulümat,39
arz,39
adem,38
kemal,38
nev,38
musibet,37
beyan,36
rahim,35
fakr,35
ene,34
vücud,34
düstur,34
zemin,34
firak,34
zülcelal,33
istikbal,33
medar,33
zihayat,32
mahiyet,32
muvazene,32
nefis,31
malik,31
ziyade,31
gayr,30
cilve,30
şe,30
dünyeviye,29
nam,29
menfaat,28
bedbaht,28
aciz,28
kemalat,28
mutlak,28
insaniye,27
semavat,27
insaniyet,26
tılsım,26
cihazat,26
ihtiyar,26
nevi,26
sair,26
zaaf,25
at,25
kerim,25
alakadar,25
beka,24
muvakkat,24
musahhar,24
rahman,24
muhafaza,24
esbab,24
kadir,24
sani,24
hayvanat,24
nurani,24
daire,23
halet,23
istinad,23
hevesat,23
hizmetkar,23
amel,23
mahlukat,23
mü,23
ilahi,23
fena,23
min,23
silsile,22
zat,22
sukut,22
hissiyat,22
lisan,22
şefkat,22
beşeriye,22
sarf,22
abd,21
mukabil,21
deha,21
heva,21
mazi,21
şecere,21
vahşet,21
cemal,21
lillah,20
insan,20
umum,20
maneviye,20
ebed,20
şer,20
vazife,20
muzır,20
elhamdü,20
hamd,20
tevekkül,20
ruh,20
meşru,19
mazhar,19
tasdik,19
dehşetli,19
nihayet,19
iktidar,19
kuvve,19
kuraniye,19
kalb,19
enaniyet,18
medeniyet,18
dünya,18
tabiat,18
misal,18
et,18
küre,18
neş,18
ihsan,18
zaman,18
mübarek,18
fıtrat,18
darağacı,18
hidayet,17
felsefe,17
rububiyet,17
nokta,17
mucize,17
sıfat,17
hane,17
azim,17
hal,17
ayet,17
nisbet,17
avrupa,17
rab,17
havf,17
mülk,17
ünsiyet,16
ayn,16
lezzet,16
bahtiyar,16
menzil,16
rabbaniye,16
hacat,16
ulvi,16
mahbub,16
mecazi,16
mehasin,16
cidal,16
temsil,16
hayaliye,16
şehadet,16
san,15
vakıa,15
icad,15
nefer,15
keza,15
telakki,15
maruz,15
kafi,15
içtimaiye,15
umumi,15
müteveccih,15
külli,15
hakaik,15
mahluk,15
eşya,15
kıymettar,15
taife,15
mevt,15
müşahede,14
münasebet,14
hüda,14
cami,14
berzah,14
hürmet,14
ziya,14
zail,14
esasat,14
ferman,14
tecelli,14
iltica,14
hüsn,14
tesettür,14
hasaret,14
manevi,14
tenvir,13
manen,13
leziz,13
hususi,13
şirk,13
hususan,13
uhuvvet,13
mizan,13
hazine,13
emmare,13
fıtri,13
kader,13
ahir,13
selamet,13
ala,13
asar,13
zerrat,13
hadisat,13
ekber,13
istidat,13
aşk,13
ihtar,13
inkılap,13
sırr,13
emel,13
marifet,13
letaif,13
tasavvur,13
sadakat,13
nümune,12
rezzak,12
acip,12
münacat,12
seyyah,12
seyahat,12
zayi,12
haslet,12
kaza,12
nübüvvet,12
hüccet,12
ezeli,12
ayine,12
tesbih,12
maksat,12
ecel,12
zahiren,11
tulu,11
emniyet,11
celb,11
mabud,11
kesret,11
galebe,11
masnuat,11
ali,11
latif,11
istimal,11
sürur,11
gaye,11
iktiza,11
hülasa,11
said,11
gayb,11
mahbup,11
kabil,11
hilkat,11
sultan,11
hükm,11
vecih,11
inkişaf,11
fazilet,11
niyaz,11
izale,11
