kelime,frekans
hakikat,489
ehl,303
şakirt,244
aziz,200
sıddık,176
hak,169
alem,167
nur,160
hakiki,160
islam,148
ali,144
nuriye,144
beyan,143
mecmua,143
umum,142
cenab,138
said,132
ihlas,127
imaniye,126
masum,124
kati,123
ve,123
rahmet,121
neşr,120
hayat,117
ankara,117
suret,115
nevi,115
iman,114
inşaallah,113
risale,109
ilahiye,108
kanaat,107
feyzi,107
kuraniye,105
alakadar,105
beşer,105
kat,104
ısparta,104
islamiye,104
muhafaza,103
istanbul,102
yı,101
asayiş,101
saniyen,100
hususan,98
manevi,98
hadsiz,98
hizmet,95
umumi,94
ilahi,94
mutlak,91
denizli,91
medar,89
acip,89
mukabil,88
cereyan,88
kuran,88
hafız,87
biçare,87
intişar,87
nüsha,87
nazar,86
tab,86
keramet,86
hüsrev,85
zülfikar,84
kudsi,83
beraat,82
cihet,81
vaziyet,81
has,80
hikmet,80
saadet,79
mustafa,78
afyon,78
hüsn,76
iyen,75
ihtar,75
hasan,73
zehra,73
ruh,72
tefsir,72
ahir,71
medresetü,71
can,71
zerre,70
hakaik,70
ihsan,70
medrese,70
ahmed,69
ol,68
inayet,68
muhalif,67
merhum,67
binaen,66
tevafuk,66
mazhar,66
cüz,65
zan,65
emare,65
külli,65
tetkik,63
kainat,63
maneviye,62
dalalet,62
tasdik,61
salisen,61
kübra,61
kemal,60
kanun,60
amin,58
eski,58
ulema,58
muvaffak,57
şükür,57
nev,57
ittiham,57
hakim,56
sadakat,56
vukuf,55
bedel,55
düstur,54
vazife,54
hususi,54
şahs,53
ihanet,53
serbestiyet,53
lahika,53
mahkemesi,52
men,52
mu,52
fütuhat,51
sair,51
heyet,50
hiddet,50
emirdağ,49
leyle,49
fıkra,49
temin,48
müsadere,48
tarikat,48
kudret,48
takdir,47
küfr,47
esasi,46
zemin,46
mukabele,46
şark,45
diyanet,45
tahribat,45
muarız,45
zabıta,45
tashih,44
hüccet,44
sungur,44
harb,44
nefs,44
sabri,43
ayetü,43
erkan,43
evham,43
osman,42
selamet,42
uhrevi,42
rehber,41
fani,41
ahiret,41
hal,41
demokrat,40
istimal,40
ebedi,39
mahiyet,39
abdurrahman,39
halet,39
esas,39
hadis,39
halis,38
imam,38
ziyade,37
ecza,37
şerif,37
mes,37
sadık,37
meb,37
kader,37
ihtiyat,36
mucize,36
adalet,36
havali,36
cizat,36
enaniyet,36
ibrahim,35
kastamonu,35
mehmed,35
hadise,35
ekser,35
arz,35
muallim,35
hemşire,34
mevzu,34
sırr,34
caz,34
taife,34
azam,34
hizb,34
ilm,34
valide,34
us,34
münafık,34
müteessir,34
tahiri,34
mahsus,34
müellif,34
varis,34
vekili,34
muhterem,34
lisan,33
telif,33
şefkat,33
kıymettar,33
musibet,33
camiü,33
sünnet,33
baki,33
komünist,33
zaruret,33
avrupa,33
rabian,33
münasip,32
kaide,32
barla,32
minnettar,32
tahakkuk,32
galebe,32
unsur,32
nümune,32
tesanüd,32
emsal,32
misal,32
şehadet,32
ilmiye,31
ezher,31
gaybiye,31
teveccüh,31
peder,31
havale,31
içtimaiye,31
bey,31
hane,31
taarruz,31
edilen,31
istikbal,31
istinad,31
tahammül,31
demokratlar,30
tahsin,30
nazif,30
zelzele,30
ittifak,30
muhabere,30
arabi,30
mahrem,30
menfaat,30
nükte,30
sürur,29
dava,29
evvela,29
ziya,29
muvaffakiyet,29
hariç,29
iştiyak,29
adi,29
ittihad,29
mezkur,29
sevk,29
hiss,29
mağlup,29
tevhid,29
ihtiyar,28
zat,28
kurani,28
mahkeme,28
dairesi,28
tabir,28
cilve,28
muvakkat,28
uhuvvet,28
dahil,28
istibdad,28
barekallah,28
kablelvuku,28
nazara,28
tecavüz,28
desise,27
su,27
dahiliye,27
kadir,27
hakikaten,27
inkişaf,27
reis,27
muannid,27
kuvve,27
maslahat,27
izale,27
kudsiye,27
halil,27
burhan,26
siyaset,26
an,26
risalesi,26
müdafaat,26
riyaseti,26
rıza,26
zuhur,26
ecnebi,26
şakird,26
şer,26
diniye,25
küre,25
haşiye,25
konya,25
izah,25
izhar,25
hürriyet,25
hürmet,25
hazret,25
elzem,25
amerika,25
maişet,24
iye,24
safranbolu,24
celb,24
zarfında,24
salih,24
lem,24
vecih,24
feylesof,24
azim,24
mübarek,24
malumat,24
eskişehir,24
ebediye,24
hissiyat,24
ceylan,24
niyaz,24
mahdum,23
fevkalade,23
fıtri,23
hülasa,23
hodfuruşluk,23
fevkinde,23
himaye,23
isnad,23
beyt,23
tezahür,23
maşaallah,23
nam,23
şekva,23
halk,23
def,23
maarif,23
zübeyir,23
muamele,22
cemiyet,22
gaflet,22
anadolu,22
zındık,22
umumiye,22
haysiyet,22
makbuliyet,22
temyiz,22
refet,22
aleyhissalatü,22
şeriat,22
makbul,22
gayr,22
ulum,22
muvafık,22
naşir,22
muhabbet,22
al,22
kemalat,21
tecrid,21
vukuat,21
bid,21
mertebe,21
inebolu,21
hava,21
beşeriye,21
uliyet,21
amme,21
himmet,21
hasenat,21
tevehhüm,21
makamat,21
tadil,21
emin,21
müteaddit,21
dünyevi,21
vesvese,21
hıfz,21
hilaf,21
teşvik,21
vesselam,21
sarf,21
velayet,21
muhal,20
azap,20
mirac,20
yeni,20
berzah,20
ayn,20
süleyman,20
zulüm,20
emsalsiz,20
dünyeviye,20
nimet,20
mesrur,20
şükr,20
nokta,20
meyve,20
irade,19
şehid,19
salahaddin,19
bilhassa,19
müdafaa,19
azami,19
tazip,19
maruz,19
meal,19
cihad,19
şerait,19
müddeiumumi,19
hacı,19
terbiye,19
taharri,19
hükumet,19
darülfünun,19
zahir,19
tevfik,19
sebat,19
bilakis,19
semavi,19
manidar,19
akim,19
elem,19
hissedar,19
telakki,18
matbu,18
idam,18
marifet,18
fuad,18
tazyik,18
tenezzül,18
zaruri,18
evliya,18
mısır,18
küçük,18
nüfuz,18
tahkiki,18
mebus,18
aciz,18
banknot,18
elim,18
anh,18
garazkar,18
menzil,18
bilfiil,18
garaz,18
hareket,18
hıristiyan,18
takdim,18
bera,18
ezcümle,17
tenkit,17
kesretli,17
kitab,17
millet,17
hasene,17
komite,17
sena,17
kelam,17
zahiren,17
zalimane,17
zulmet,17
