kelime,frekans
aziz,239
ilem,239
alem,233
eyyühe,233
keza,201
vücud,169
kudret,168
sani,159
hak,142
arz,133
hakikat,132
halık,128
cihet,120
esbab,117
şems,115
cenab,114
ve,103
kemal,103
kainat,102
nazar,101
zat,101
delalet,98
binaenaleyh,97
şehadet,93
zerre,91
gayr,90
hikmet,89
cüz,86
nefs,85
nimet,85
sıfat,78
burhan,74
tevhid,71
hakim,70
beşer,69
ilahiye,68
adem,68
malik,68
ehl,66
semere,66
icad,66
esma,62
dalalet,61
hakiki,59
muhabbet,59
rahmet,59
at,59
intizam,58
nev,58
eşya,58
tecelli,55
ahiret,55
hayat,54
yı,52
suret,52
vahdet,52
gaflet,51
ubudiyet,51
vahid,50
iktiza,50
mutlak,50
mazhar,50
lisan,50
nefis,49
tasarruf,48
ayet,48
rububiyet,47
mütenahi,46
mahlukat,45
nevi,45
beka,44
şuur,44
maahaza,44
kezalik,44
mevcudat,44
saadet,43
azamet,43
nur,43
elem,43
mülk,43
irade,42
zerrat,42
ziya,42
semavat,42
in,41
zahir,41
menzil,40
lem,40
ahval,40
katre,39
acz,39
zikr,39
cilve,38
baki,38
isnad,38
vücut,38
ilahi,38
vaziyet,37
cemal,37
umumi,37
ihtiyar,36
binaen,36
ebedi,36
zeval,36
kelam,35
sema,35
ezeli,35
nizam,34
beyan,34
cemaat,34
sair,33
nurani,33
inkılap,33
kadir,33
enva,33
nisbet,33
hal,32
misal,32
istilzam,32
vücub,32
halk,32
kader,32
masnu,31
fani,31
bilhassa,31
tazammun,31
şecere,31
bizzat,31
kafir,30
zihayat,30
vacibü,30
kesret,30
hilkat,30
am,29
zülcelal,29
illet,29
timsal,29
tecelliyat,29
edilen,29
tabiat,28
san,28
vecih,28
efal,28
şeriat,28
fena,27
hakaik,27
kuran,27
tasdik,27
mahiyet,27
hayvanat,27
şuunat,27
mana,26
aciz,26
suhulet,26
arş,26
zail,26
hüsn,26
münasebet,26
kemalat,26
latif,26
batın,26
hatem,25
tenvir,25
masnuat,25
ezeliye,24
sevk,24
efrad,24
acip,24
ecza,24
imkan,24
haşir,24
saltanat,24
fakr,24
nakış,24
fail,24
inayet,24
muhal,24
kati,24
kitab,24
azim,23
ihata,23
ziynet,23
izhar,23
uluhiyet,23
nebatat,23
kalb,23
enbiya,23
mahsus,23
illa,23
sür,22
makam,22
tabi,22
düstur,22
itikad,22
rahim,22
mizan,22
daire,22
hüsna,22
külli,21
avam,21
said,21
ebediye,21
küre,21
daimi,21
sikke,21
ayat,21
musibet,21
teşkil,21
muhafaza,21
mutlaka,21
mucize,21
mükafat,21
lazım,21
nokta,20
malum,20
latife,20
ihsan,20
küll,20
içtima,20
nazır,20
risale,20
mü,20
nazaran,20
ziyade,20
hasıl,20
kuvve,20
şerik,20
haşr,20
cereyan,20
resul,20
edna,20
muvazene,20
avrupa,19
hamd,19
iktidar,19
camid,19
habbe,19
remz,19
mün,19
evliya,19
im,19
hülasa,19
nota,19
caz,19
ene,19
asar,19
istinad,19
muhit,19
nihayet,19
imtisal,19
abd,19
evham,19
fatır,19
hususi,19
irşad,18
şirk,18
sultan,18
ism,18
ehad,18
ruh,18
delil,18
vukua,18
izzet,18
la,18
amel,18
ittifak,18
hariç,18
sual,17
sarf,17
mahluk,17
şefkat,17
üstad,17
mal,17
nefer,17
husule,17
mertebe,17
et,17
min,17
nükte,17
bu,17
tevehhüm,17
ihya,17
maruz,17
fıtrat,17
vazife,16
ihlas,16
terbiye,16
sa,16
kübra,16
hüküm,16
cem,16
kıyamet,16
vücuda,16
nübüvvet,16
ekber,16
ferd,16
kanun,16
neş,16
hasiyet,16
tabaka,16
