kelime,frekans
hakikat,722
hikmet,645
kainat,612
suret,528
alem,528
ve,459
kemal,422
kudret,372
hakim,367
rahmet,329
hak,328
vücud,301
ehl,300
hayat,300
esma,279
cüz,276
mevcudat,272
beyan,267
nazar,266
ilahiye,262
beşer,259
zülcelal,259
sani,258
yı,246
nihayetsiz,242
kuran,239
cihet,237
arz,237
zemin,235
saadet,234
muhabbet,225
rububiyet,223
hadsiz,216
hakiki,214
şehadet,210
at,205
intizam,189
lisan,184
zat,179
umum,179
halık,179
cemal,178
zerre,178
mutlak,172
zihayat,166
nev,166
cenab,165
kemalat,161
kadir,158
cilve,158
ahiret,157
mazhar,155
kati,148
ubudiyet,147
esbab,146
medar,145
nur,144
semavat,143
temsil,142
san,141
külli,139
ayine,139
nevi,136
adem,136
ziya,135
icad,133
burhan,130
dalalet,130
nefs,130
kelam,128
caz,128
hakaik,127
vahdet,126
mucize,125
sair,125
mahiyet,124
rahim,122
elem,121
misal,119
tefsir,119
mahlukat,118
ilahi,118
acz,117
ebedi,115
azam,113
malik,113
muhtelif,113
kader,113
nurani,112
mu,112
enva,112
nam,112
delalet,111
tecelli,110
melaike,110
muntazam,108
ziyade,107
ebediye,107
tevhid,104
latif,104
hüsn,103
kuraniye,103
hayvanat,102
nihayet,102
ayat,102
hilkat,101
irade,101
saltanat,101
sema,100
kat,100
nisbet,99
baki,98
daire,98
eşya,98
şer,98
iman,98
azim,96
beka,96
nebatat,93
zeval,92
sikke,92
ulvi,92
enbiya,91
sıfat,90
ihtiyar,90
inkar,90
gaflet,89
küre,88
masnuat,87
belağat,87
iktiza,86
tabiat,86
fani,85
asar,85
muhal,85
zişuur,83
kübra,83
insaniye,83
mizan,82
mana,82
ekser,82
düstur,81
taife,81
ihsan,81
şecere,81
amel,80
aciz,80
bilbedahe,80
mahluk,80
şems,79
vahdaniyet,79
kerim,78
mukabil,78
zerrat,78
inayet,78
sırr,78
vesselam,78
kamer,77
aleyhissalatü,77
haşir,76
rabbaniye,73
vücub,73
muvazene,72
musahhar,72
nefer,71
ehadiyet,71
cizat,71
ali,71
ezeli,70
mahsus,70
tasdik,70
arş,70
halk,70
mirac,69
fakr,69
nefis,69
ervah,69
kesret,69
evliya,69
kanun,68
ebed,68
cihazat,68
lem,68
vücut,68
muhafaza,67
nizam,67
zahir,67
rahman,67
cami,66
şuur,66
mertebe,66
haşmet,66
şeriat,66
silsile,65
kıyamet,65
mevt,65
tasarruf,65
ilm,64
kitab,64
ahir,64
haşr,63
insan,63
nübüvvet,63
münasebet,63
gayet,63
dua,63
sahabe,62
azamet,62
hazret,62
zikr,62
abd,61
firak,61
izhar,61
külliye,61
biçare,61
umumi,60
farz,60
ayn,60
ferman,60
hüccet,60
dar,60
risalet,60
tazammun,59
şe,58
mülk,58
müşahede,58
aleyhisselam,58
tabakat,58
fıtrat,58
rab,58
gayr,58
dünyeviye,57
ekber,57
nümune,57
tesbihat,57
acip,57
manevi,57
nokta,56
menba,56
istinad,56
kabil,56
ahmediye,56
mutlaka,55
dünya,55
ihtar,55
menzil,55
kıymettar,55
beşeriye,55
maneviye,55
vazife,55
vech,54
izzet,54
muhit,54
vacibü,54
tecelliyat,54
tezahür,54
resul,54
teşkil,53
efal,53
nükte,53
harekat,53
ruh,53
katre,53
mehasin,53
hizmetkar,53
letaif,52
makam,52
kuvve,52
ekrem,52
tesbih,52
tılsım,51
fehm,50
elhasıl,50
neş,49
erkan,49
münasip,49
imaniye,49
istidat,49
adi,49
zahiri,48
fena,48
ittifak,48
tabir,48
ins,48
zulümat,48
hadis,48
hal,48
zaman,48
vesvese,47
ihya,47
evamir,47
mucizül,47
ihata,47
kerem,47
şuunat,47
fatır,47
ahkam,47
azime,47
emr,47
kalb,46
hane,46
nisbeten,46
uluhiyet,46
iye,46
haşa,46
istidad,46
iktidar,46
ism,46
hidayet,46
hususan,45
maksat,45
ayet,45
yi,45
malum,45
ahval,45
camid,45
tanzim,45
tezyin,45
muvakkat,45
fail,44
musibet,44
içtimaiye,44
marifet,44
mazi,44
gayb,43
sukut,43
dehşetli,43
manen,43
ezel,43
talim,43
izah,43
temaşa,42
heyet,42
kelimat,42
ihtiyari,42
küfür,42
suhulet,42
tarz,42
sadık,42
derece,42
sultan,42
menşe,42
velayet,42
vahid,42
rabbani,42
müteveccih,42
inkişaf,41
mezkur,41
istikbal,41
sür,41
hazine,41
aza,41
meal,41
müştak,41
bedbaht,41
ziynet,41
tarik,41
et,41
tedbir,41
kudsiye,41
hatem,40
arabi,40
tasavvur,40
kafi,40
muazzam,40
alim,40
ene,40
lezzet,40
sarf,39
neşr,39
celb,39
hakeza,39
hacet,39
islamiye,39
envar,39
hüsna,39
in,39
mes,39
tasarrufat,39
mukaddes,38
içtihad,38
bilmüşahede,38
keyfiyet,38
berzah,38
tefekkür,38
feyz,38
ulum,38
risale,38
şefkat,38
has,38
semere,38
masnu,38
tasvir,37
mahbub,37
vüs,37
semavi,37
hüsün,37
terakkiyat,37
şirk,37
mübarek,37
muhteşem,37
müteaddit,37
tahrik,37
taam,36
işarat,36
daimi,36
sermedi,36
hürmet,36
makasıd,36
tahrip,36
zülcemal,36
istihdam,36
zelzele,36
tevehhüm,36
nakş,35
hakimane,35
hilaf,35
leziz,35
cemaat,35
hadisat,35
sekene,35
müzeyyen,35
sefahet,35
beni,35
samedaniye,35
meratib,35
niyaz,35
istihsan,35
dava,34
perde,34
mikyas,34
mukabele,34
netice,34
hararet,33
imkan,33
uhreviye,33
peyda,33
hülasa,33
musa,33
hacat,33
teshir,33
vaki,33
mükafat,33
icma,33
turra,33
libas,33
bizzarure,33
tahakkuk,33
elim,33
nukuş,33
mukaddime,32
nimet,32
efkar,32
manidar,32
ehad,32
hatime,32
islam,32
teşhir,32
beyanat,32
şerik,32
tabi,32
vuku,32
istimal,32
aliye,32
vezaif,32
amme,32
hayy,32
vaziyet,32
zaaf,32
tenvir,32
dikkat,32
feylesof,31
münezzeh,31
kalem,31
mani,31
misillü,31
tahkir,31
ihsanat,31
ala,31
hayattar,31
fıtri,31
mü,31
münevver,31
ifham,31
şevk,31
şuhud,31
sada,31
mabud,31
mecmua,31
zulmet,31
mesail,31
halet,31
binaen,31
insaniyet,31
dellal,31
hasıl,31
fıkra,30
min,30
maslahat,30
sima,30
kesretli,30
münacat,30
emsal,30
dahi,30
ezeliye,30
semerat,30
sıdk,30
tahayyül,30
uzma,30
şua,30
felsefe,30
ru,29
avam,29
erzak,29
batıl,29
tabaka,29
çendan,29
fen,29
cereyan,29
esrar,29
rezzak,29
mektubat,29
ger,29
ruhani,29
derc,29
meydan,29
menfaat,29
medeniyet,29
meşher,29
alakadar,29
safi,29
fazilet,29
tevfik,29
icaz,29
tezyinat,29
tevekkül,28
lafz,28
hadise,28
mevcut,28
muti,28
zati,28
reşha,28
enaniyet,28
tebdil,28
camiiyet,28
esasat,28
had,28
itaat,28
imtihan,28
hususi,28
huzur,27
hissiyat,27
ibad,27
maani,27
levazımat,27
meşru,27
iyen,27
kaide,27
cemil,27
raiyet,27
seyyare,27
istifade,27
cevher,27
tarif,27
ecel,27
harika,27
irşad,27
şahs,27
edilen,27
mühim,27
celal,26
dergah,26
muaraza,26
heva,26
külliyet,26
ibret,26
an,26
insani,26
mahz,26
mütenevvi,26
mal,26
zuhur,26
ihzar,26
muvafık,26
akıl,26
icmal,26
emmare,26
iştiyak,26
terbiye,26
zikir,26
hevesat,26
dest,26
makbul,26
ihsas,26
evsaf,26
sır,26
tekviniye,26
ümmet,26
efrad,25
emir,25
ulviye,25
cezalet,25
vecih,25
adil,25
selaset,25
müstakbel,25
gaybiye,25
kebir,25
emare,25
ab,25
feza,25
havf,25
rivayet,25
imtisal,25
vakıa,25
timsal,25
dünyevi,25
cazibe,25
mukteza,25
ulema,25
gafil,24
alud,24
güya,24
latife,24
telakki,24
vaz,24
ecza,24
umumiye,24
münteha,24
muktedir,24
inkılap,24
asr,24
kudsi,24
cismani,24
kah,24
haysiyet,24
nakkaş,24
üslub,24
şakirt,24
cennet,24
inkılab,24
kayyum,24
üstad,24
derecat,24
ahsen,24
azami,24
zülkemal,24
ulviyet,24
halis,24
terakki,24
umur,23
ad,23
muamele,23
muvaffak,23
allahu,23
müstehak,23
fünun,23
bakiye,23
hamd,23
nuraniye,23
remz,23
müptela,23
fenn,23
rüyet,23
nezaret,23
lütuf,23
hareket,23
mün,23
fevkalade,23
mebde,23
anasır,23
ciznüma,23
ekmel,23
isnad,23
kabza,23
müsavi,23
intişar,23
mahşer,23
vaad,22
ihbar,22
ukul,22
hudud,22
nazır,22
sa,22
asfiya,22
teklif,22
vücuh,22
huruf,22
bahr,22
hakkaniyet,22
yakin,22
cazibedar,22
ekseriyet,22
ittiba,22
mahdut,22
ömr,22
sahra,22
tayyare,22
hayatiye,22
lemeat,22
ma,22
ahbap,22
itikad,22
meratip,22
sünnet,22
güz,22
im,22
mebhas,22
meziyet,22
havas,22
zeyl,22
melekut,22
fezleke,22
mevkıf,22
edip,22
illet,22
maruz,22
icmalen,22
istib,22
lezaiz,22
ahali,22
delail,21
marziyat,21
nazenin,21
iz,21
fevkinde,21
muzır,21
kibriya,21
maden,21
netaic,21
seyyarat,21
zahiren,21
muhalif,21
keşif,21
lillah,21
adalet,21
zatiye,21
sebeb,21
evvel,21
bahusus,21
muamma,21
hayır,21
ziruh,21
taht,21
sükut,21
alamet,21
nazire,21
kavanin,21
maksud,20
muhammediye,20
şey,20
uhrevi,20
makul,20
meşakkat,20
muhakeme,20
evham,20
tahkik,20
ami,20
imtiyaz,20
bilhassa,20
gayat,20
iyet,20
tekemmül,20
zira,20
idam,20
dem,20
teveccüh,20
münhasır,20
muallim,20
ihbarat,20
fahr,20
tafsil,20
ittihad,20
kamil,20
tevatür,20
eda,20
meslek,20
kurani,20
mevzun,20
iltica,20
teavün,20
tavzif,20
takva,20
destgah,20
ilham,20
münkir,20
tayin,19
takdim,19
tahribat,19
mümkinat,19
tekzip,19
dakik,19
kanaat,19
bahtiyar,19
acaib,19
tecavüz,19
merhamet,19
hassa,19
nüzul,19
itibarıyla,19
ahlak,19
kafir,19
abes,19
telif,19
vahidiyet,19
sehavet,19
fesahat,19
kavi,19
hava,19
mahkeme,19
arziye,19
vesait,19
hüda,19
vahşet,19
bostan,19
huri,19
gına,19
la,19
şerif,19
cem,19
mesken,19
mütenahi,19
ihtilaf,19
cin,19
seyr,19
misali,19
bedihi,19
aksam,19
hayr,18
nazm,18
enzar,18
kasr,18
beden,18
müddet,18
mescid,18
telezzüz,18
tagayyür,18
ruhaniyat,18
aziz,18
letafet,18
peder,18
evvelki,18
cezbe,18
halat,18
perestiş,18
harikulade,18
hüceyrat,18
semaviye,18
taalluk,18
süluk,18
sürur,18
tabur,18
müşkül,18
remiz,18
kıyas,18
gaybi,18
ibadet,18
hükema,18
aks,18
rahmaniye,18
münafi,18
zevk,18
zayi,18
mezraa,18
kesb,18
hasiyet,18
takvim,18
emanet,17
izale,17
acibe,17
hizmet,17
üslup,17
selamet,17
edici,17
şuun,17
seyyid,17
vukuat,17
gaye,17
tahavvülat,17
kaza,17
müfessir,17
nakış,17
nazik,17
mutasarrıf,17
şimendifer,17
rabıta,17
vazıh,17
berk,17
mücazat,17
hasaret,17
elhamdü,17
marifetullah,17
aktar,17
ünsiyet,17
itimad,17
avrupa,17
tafsilat,17
mütemadiyen,17
müstakim,17
müdebbir,17
tesanüd,17
ibadat,17
desatir,17
şamil,17
mazhariyet,17
darağacı,17
ila,17
meşhud,17
maksad,17
gurub,17
sefine,17
heves,17
ihlas,17
kesif,17
kurbiyet,17
remzen,17
acaip,17
bahir,17
şerait,17
amin,17
ferş,17
deha,17
temsili,16
küll,16
maharet,16
müheyya,16
mahzen,16
süfli,16
suri,16
şule,16
amele,16
mazlum,16
temsiliye,16
iyat,16
imam,16
hezeyan,16
bil,16
sahife,16
seyyar,16
evvela,16
fihriste,16
müellif,16
mücmel,16
vahy,16
divane,16
bismillah,16
mübareze,16
sayha,16
cevahir,16
memur,16
ilmi,16
külfet,16
mağrur,16
küfr,16
yeis,16
hisse,16
halife,16
hudut,16
neşvünema,16
batın,16
hatve,16
muayyen,16
misilsiz,16
rabb,16
muannid,16
emirber,16
zillet,16
meyl,16
din,16
izn,16
al,16
ef,16
safilin,16
harici,16
madde,16
adet,16
bedi,16
veli,16
bismillahirrahmanirrahim,16
tefrik,16
maişet,16
inkılabat,16
barekallah,15
nizamat,15
sena,15
fikr,15
secde,15
alemin,15
nebat,15
ilzam,15
icraat,15
bedevi,15
şekva,15
adl,15
mevki,15
hesaba,15
tecrübe,15
sofra,15
ifa,15
dereke,15
