kelime,frekans
tevafuk,205
şakirt,155
fıkra,130
suret,111
hakikat,104
risale,102
beyan,91
cihet,91
keramet,78
Isparta,62
emare,62
şedde,58
mazhar,56
umum,50
karine,46
Emin,45
cifir,42
ol,40
münasebet,40
Hazret-i İmam-ı Ali,38
aleyhissalâtü vesselâm,38
tefsir,38
tenvin,38
kaside,37
Cenâb-ı Hak,37
ziyade,37
izhar,37
âhir,35
hadsiz,34
rahmet,34
intişar,34
Hz. Ali,34
makam-ı cifrî,33
binaen,33
burhan,33
ehl-i iman,33
remzen,33
hususî,33
ihtar,33
Hüsrev,32
nevi,31
küllî,30
Feyzi,30
Celcelutiye,30
sair,30
zerre,29
İmam-ı Ali,29
kudsî,29
nam,29
mânâ-yı işârî,28
kanaat,28
sarahat,28
cereyan,27
delâlet,27
telif,27
dalâlet,27
cüz'î,27
fevkalâde,26
hikmet,26
müteaddit,26
ekser,25
Aziz,25
müellif,25
nur,24
neşr,24
muhafaza,24
fitne,24
vecih,23
ihtiyar,23
lisan,23
İsm-i Azam,23
zulümat,23
ihsan,23
mürid,23
nazar,22
Müellif,22
hakikî,22
kat'î,21
Elhasıl,21
acip,21
istikamet,21
Lem'a,21
Hazret-i Gavs,21
kâinat,20
Kurân-ı Mucizül Beyan,20
Gavs-ı Azam,20
teyid,20
nev',20
mukabil,20
mezkur,20
lâtif,20
tasdik,20
musibet,20
Hazret-i Şeyh,20
tâbir,19
remz,19
biçare,19
remiz,19
Sabri,19
hizmet-i Kurâniye,19
kıymettar,19
iltifat,19
işârî,18
asır,18
mübarek,18
işârât,18
Risaletü'n-Nur,18
zuhur,18
îma,18
emâre,18
İstanbul,18
münasebet-i mâneviye,18
hüccet,18
zulmet,17
muannid,17
zâhir,17
Risale,17
rahmet-i âlem,17
küre-i arz,17
taife,17
gaybî,17
istikbal,17
Hazret-i Mevlânâ,17
âlem,17
hengâm,17
tenvir,17
tezahür,17
ehemmiyet,17
şahs-ı mânevî,16
hâlis,16
Harb-i Umumî,16
ittifak,16
sıddık,16
âlem-i İslâm,16
hakaik,16
ecza,16
Süleyman,16
kesretli,16
hak,16
Ol,16
zelzele,16
hakaik-i imaniye,16
Şuâ,15
bilhassa,15
feyz,15
Hafız Ali,15
izale,15
Kurân-ı Hakîm,15
kuvve-i mâneviye,15
ferman,15
efrad,15
ulema,15
alâkadar,14
mütalâa,14
hususan,14
makbuliyet,14
cilve,14
mânen,14
naşir,14
mukabele,14
âhirzaman,14
külliyet,14
mertebe,13
makam-ı ebcedî,13
izah,13
celb,13
zarfında,13
medar,13
makbul,13
nüsha,13
semavî,13
ihlâs,13
Barla,13
cemaat,13
muhalif,13
gayet,13
iman-ı tahkikî,13
Sözler,13
vuku,13
himmet,12
müteveccih,12
müşahede,12
i'câz,12
sadık,12
nev-i beşer,12
mutabık,12
lâfz,12
mücahede,12
Ezcümle,12
münâcât,12
mucize,12
kelâm,12
hadise,12
Kastamonu,12
letafet,12
muvafık,12
muhtelif,12
işaret-i gaybiye,12
tasavvur,12
istinad,12
