kelime,frekans
keza,155
Cenâb-ı Hak,134
cihet,102
arz,100
temsil,97
hikmet,96
delâlet,92
nizam,88
Binaenaleyh,86
beşer,86
kâinat,81
kelâm,74
hakikat,72
iktiza,71
münafık,71
zulmet,67
nükte,64
münasebet,63
beyan,63
belâgat,61
kudret,58
melâike,57
vecih,57
nevi,55
tefsir,55
vücud,52
zerre,50
binaen,49
i'câz,47
delil,47
mâkabli,45
mucize,45
ihtiyar,45
Zira,45
hidayet,44
tâbir,44
esbab,44
nazar,44
taalluk,43
ziya,42
Sâni,42
muaraza,40
sâmi,40
nifak,40
burhan,39
dalâlet,39
intizam,39
tecellî,37
tazammun,37
malum,36
saadet-i ebediye,36
azamet,36
nazm,35
inkılâp,35
nev-i beşer,35
hasıl,35
mü'min,34
aleyhissalâtü vesselâm,34
umumî,33
semavat,32
nazaran,32
intaç,32
sıfat,31
musibet,31
kâfir,31
Hülâsa,30
âhiret,30
muhtelif,30
halk,30
tasdik,30
neş'et,30
mezkur,30
itibar,29
kaide,28
berk,28
izah,27
Hâlık,27
ima,27
husule,27
bâtıl,27
nübüvvet,27
sıdk,27
münhasır,27
tasvir,27
illet,27
mukadder,27
şek,26
izhar,26
silsile,26
tevhid,26
mukaddeme,26
istifade,26
Kezalik,26
irşad,26
tekit,26
remiz,25
vücuda,25
ahvâl,25
eşya,25
acz,25
zahir,25
şâmil,24
mevcudat,24
istidat,24
vicdan,24
teşekkül,24
lâtif,24
mazhar,24
tahsis,24
maraz,24
rahmet,24
muhalif,23
münasip,23
irtibat,23
tâbi,23
tezahür,23
vehim,23
izale,23
muhafaza,23
temin,22
ihtiva,22
teşkil,22
üslub,22
hülâsa,22
İhtar,22
cüz'î,22
şeriat,22
saadet,22
semere,22
teklif,22
küfür,22
ecza,21
vücut,21
keyfiyet,21
gayr-ı mütenahi,21
şehadet,21
lisan,21
istikbal,21
muhal,21
üslup,21
atıf,21
zamir,21
kizb,21
takdir,21
Maahaza,20
hilkat,20
fehm,20
Münafık,20
takdim,20
hüsün,20
sema,20
tabiat,20
fezleke,20
âlem,20
isnad,20
ra'd,19
haşir,19
istilzam,19
muayyen,19
kıyamet,19
ihata,19
sair,19
mevcut,19
küllî,19
itikad,19
mahsus,19
fıtrat,19
elem,19
fesad,19
menşe,18
nev'i,18
tayin,18
ilâ âhir,18
semâ,18
ihsan,18
peyda,18
hakaik,18
hakikî,18
kemâl,18
îcaz,18
vuku,18
nâzil,17
tebeddül,17
mâzi,17
takvâ,17
beliğ,17
içtima,17
envâ,17
rabıta,17
intikal,17
maslahat,17
nefis,17
ziyade,17
nisbet,17
muhalefet,17
adem,17
mertebe,17
tabir,16
maruz,16
me'haz,16
reca,16
terhib,16
tebşir,16
şe'n,16
tesviye,16
lâfz,16
şer,16
emare,16
inzar,16
âciz,16
heyet,16
istihza,16
hasr,16
meâl,16
suret,16
tekerrür,16
garaz,16
fesat,15
abd,15
rücu,15
icap,15
âyet,15
inkişaf,15
nüzul,15
atf,15
tahakkuk,15
fâsık,15
teşbih,15
def,15
misl,15
kıyas,15
sure,15
haber,15
misal,15
fırka,15
umum,15
ebedî,15
taife,15
cemaat,15
ahval,14
emsal,14
ihlâs,14
istifham,14
mahluk,14
Ezcümle,14
cereyan,14
nur-u iman,14
Melâike,14
itnab,14
menba,14
mümkinat,14
hissiyat,14
tasarruf,14
merci,14
misâl,14
fehim,14
dâvâ,14
rızık,14
ikmal,14
mahal,13
mahlukat,13
zahirî,13
Rab,13
kabil,13
tafsil,13
amel,13
hak,13
ulvî,13
temsilât,13
tefrit,13
nasihat,13
tercihan,13
masdar,13
sefahet,13
muvazene,13
mutlak,13
fısk,13
Resul-i Ekrem,13
Beşer,13
İ'lem eyyühe'l-aziz,13
bilhassa,13
katre,13
fen,13
münezzeh,13
tasrih,13
cem',13
idrak,13
istidad,13
fıtrî,13
hâvi,13
beka,13
necat,13
Kelâm,12
Takdir-i kelâm,12
beraat,12
tasavvur,12
Kâinat,12
muhatap,12
lisan-ı hal,12
malumat,12
