kelime,frekans
kelâm,52
nazar,42
hikmet,41
Mukaddeme,37
hakikat,36
binaen,32
temaşa,30
efkâr,29
burhan,29
Sâni,28
belâğat,28
nev-i beşer,27
fen,27
şeriat,26
tefsir,26
Tenbih,26
hak,26
intizam,25
şehadet,24
fünun,22
sair,21
lisan,21
nizam,20
garaz,19
neş'et,19
cereyan,19
irşad,19
sıdk,18
hissiyat,18
mecaz,18
hakaik,18
nübüvvet,17
mütekellim,17
beşer,17
tevehhüm,17
tazammun,16
hayalât,16
mukaddeme,16
suret,16
tevellüd,16
tenbih,15
mesail,15
çendan,15
delâlet,15
zahir,15
tecellî,15
nev',15
istikbal,15
bedel,15
izhar,15
nazara,15
taalluk,14
Kaf,14
vücud,14
Neam,14
tahayyül,13
umum,13
tasvir,13
evham,13
intaç,13
Hâtime,13
tasavvur,13
kemâl,13
kaide,13
Ezcümle,13
saadet-i ebediye,13
zemin,13
birader,13
Elhasıl,13
şems,12
hadis,12
ahval,12
safsata,12
tevil,12
muhakeme,12
temessül,12
münafi,12
muvazene,12
mesleği,12
ebed,12
malum,12
cevher,12
nispet,11
Kelâm,11
silsile,11
itikad,11
envâ,11
müesses,11
semere,11
arz,11
cihet,11
harikulâde,11
müyulât,11
hilkat,11
cârî,11
abes,10
mevzu,10
muhalif,10
kaziye,10
müfessir,10
mahiyet,10
vehm,10
cemi',10
zahirperest,10
galebe,10
âmâl,10
teşekkül,10
Faraza,10
caiz,10
âyât,10
nokta-i nazar,10
hâsıl,10
mazi,9
cüz'î,9
mücehhez,9
murad,9
beyan,9
iktiza,9
teşkil,9
istidad,9
meleke,9
tarik,9
enbiya,9
mâneviyat,9
fıtrat,9
üslub,8
kizb,8
farz,8
tecerrüd,8
umumen,8
tasarruf,8
müşevveş,8
tevfik,8
kast,8
ezhan,8
Vakta ki,8
emir,8
küre-i arz,8
hüsün,8
telvih,8
tevlid,8
nükte,8
ikaz,8
telâhuk-u efkâr,8
ittifak,8
Sâni-i Zülcelâl,8
lâfz,8
Vehim,8
ifrat,8
umur,8
bedihî,8
müstaid,8
avam,8
İsrailiyat,8
ziya,8
adalet,8
tatbik,8
mehasin,8
levazım,8
mütehassıs,8
ekser,8
imâ,8
nazar-ı sathî,8
mecmu,7
delâil,7
haşr-i cismânî,7
şer,7
Binaenaleyh,7
Aleyhissalâtü Vesselâm,7
tebeî,7
azamet,7
dimağ,7
ziyade,7
şe'n,7
müstağnî,7
himmet,7
kudret,7
ahkâm,7
terakki,7
ihlâl,7
sema,7
üslup,7
keyfiyet,7
makasıd,7
adem-i kifayet,7
bahusus,7
sadef,7
istinaden,7
istidadat,7
bizzarure,7
nefs,7
müsemmâ,7
küre,7
tefrit,7
teşbih,7
nizam-ı âlem,7
fehm,7
semerat,7
müstakbel,7
kavim,7
