kelime,frekans
cihet,104
elem,96
hakikat,87
suret,75
kâinat,74
muhabbet,68
hadsiz,63
nefs,60
saadet,59
nihayetsiz,55
dalâlet,52
nazar,51
hakikî,47
acz,45
rahmet,42
âlem,41
nimet,40
dua,39
âhiret,38
hikmet,38
Cenâb-ı Hak,36
beşer,36
Hâlık,35
bâki,35
fâni,34
musibet,34
elîm,34
sefahet,34
biçare,34
ene,32
zevâl,32
zîhayat,32
gaflet,31
ziyade,31
şe'n,30
fakr,30
ebedî,30
muvazene,30
mevcudat,30
nam,29
kat'î,29
bedbaht,28
nefis,28
cüz'î,28
zulümat,28
esmâ,27
adem,27
beyan,26
istikbal,26
nevi,26
zemin,25
alâkadar,25
firak,25
âciz,25
cilve,25
muhafaza,24
muvakkat,24
zaaf,24
ubudiyet,24
kudret,23
musahhar,22
saadet-i ebediye,22
sarf,22
nuranî,22
hizmetkâr,22
mukabil,21
mahlukat,21
hayat-ı dünyeviye,21
sair,20
ihtiyar,20
mahiyet,20
menfaat,20
muzır,20
tılsım,20
vahşet,19
esbab,19
kemâlât,19
dehşetli,19
medar,19
mâlik,19
darağacı,18
umum,18
mübarek,18
sukut,18
mü'min,18
nihayet,18
mazhar,18
hamd,17
ehl-i dalâlet,17
hissiyat,17
abd,17
şefkat,17
tabiat,16
havf,16
beka,16
Rab,16
hane,16
neş'et,16
nisbet,16
temsil,16
ehl-i iman,16
ünsiyet,16
semâvât,16
tevekkül,16
Elhamdü lillâh,16
müteveccih,15
hâlet,15
Avrupa,15
kezâ,15
ulvî,15
telâkki,15
kıymettar,15
ebed,15
tasdik,15
ihsan,15
mahluk,15
kâfi,15
bahtiyar,15
düstur,14
münasebet,14
dehâ,14
Kurân-ı Hakîm,14
hasâret,14
hevâ,14
menzil,14
nev-i beşer,14
icad,14
iltica,14
iktidar,13
inkılâp,13
fenâ,13
taife,13
küre-i arz,13
arz,13
nefer,13
sıfât,13
istinad,13
istidat,13
hayat-ı ebediye,13
nur,13
eşya,12
leziz,12
tenvir,12
ecel,12
sadakat,12
mevt,12
mizan,12
nümune,12
zâil,12
gayr-ı meşru,12
ferman,12
ziya,12
hususî,12
Rahmân,12
acip,12
amel,12
seyyah,12
hürmet,12
mânen,12
mülk,12
kemâl,12
vücud,11
cemâl,11
iktiza,11
müşahede,11
ihtar,11
zayi,11
vecih,11
hüccet,11
rububiyet,11
şehadet,11
tulu,11
emel,11
hâkim,11
şer,11
mehâsin,11
tecavüz,11
marifet,11
enaniyet,11
azîm,11
izale,10
fıtrat,10
umumî,10
mütemerrid,10
sürur,10
tesettür,10
nefs-i emmâre,10
mağrur,10
mütemadiyen,10
mâdum,10
bismillah,10
nisbeten,10
Sâni-i Zülcelâl,10
cihazat,10
tesbih,10
uhuvvet,10
ekser,10
müstakbel,10
Esmâ-i Hüsnâ,10
insaniyet,10
hayır,10
haslet,10
hayat-ı içtimaiye,10
mahbup,10
celb,10
Rahîm,10
tasavvur,10
şakirt,10
muannid,10
itikad,10
muhit,9
âli,9
itimad,9
fıtrî,9
mezaristan,9
hâcât,9
maruz,9
mahpus,9
nokta-i istinad,9
zulmet,9
hülâsa,9
mâbud,9
galebe,9
niyaz,9
selâmet,9
şimendifer,9
Binaenaleyh,9
nazik,9
kader,9
âyet,9
berzah,9
mağlup,9
inkişaf,9
müstehak,9
izah,9
mahv,9
müştak,9
has,9
lâtif,9
küllî,9
hut,9
şedit,9
seyahat-i hayaliye,8
istimal,8
tahrip,8
istifade,8
enbiya,8
Hâlık-ı Zülcelâl,8
dereke,8
Sâni,8
mahbub,8
semere,8
intişar,8
hususan,8
ahbap,8
âdi,8
menşe,8
fazilet,8
kaza,8
belâğat,8
hayat-ı bâkiye,8
mes'ut,8
meyusâne,8
gam,8
imdad,8
âhir,8
meşakkat,8
letâif,8
nur-u iman,8
tevehhüm,8
cidal,8
müptelâ,8
tecellî,8
tenezzüh,8
mezkur,8
fitne,8
ahbab,8
muvaffak,8
cazibedar,8
hükm,8
envâ,8
perestiş,8
kesret,8
emniyet,8
iman-ı âhiret,8
nev',8
fıtraten,8
kabil,8
Elhasıl,8
idam-ı ebedî,8
teessüf,8
nefsi,8
mecazî,8
tabir,8
nizam,8
talim,8
esfel-i sâfilîn,8
terakki,8
medeniyet-i hazıra,7
nezaret,7
cihât-ı sitte,7
şirk,7
âlâ-yı illiyyîn,7
kerem,7
süflî,7
halet,7
masnuat,7
taksim,7
hamiyet,7
mezar-ı ekber,7
muâraza,7
münâcât,7
mahiyet-i insaniye,7
miskin,7
daimî,7
çendan,7
hâkezâ,7
divane,7
hevesat,7
medet,7
inkâr,7
rabıta,7
unsuriyet,7
mahsus,7
zelzele,7
âyine,7
azap,7
muvakkaten,7
Hakîm,7
evliya,7
tecrübe,7
teshir,7
makasıd,7
câmi',7
aleyhissalâtü vesselâm,7
sofra-i nimet,7
hikmet-i Kurân,7
silsile,7
tazammun,7
meyusiyet,7
ehemmiyetli,7
mucize,7
fenalık,7
cihâzât,7
sır,7
hayvanat,7
şems,7
vaziyet,7
hazin,7
terhis,7
tilmiz,7
maksat,7
hak,7
burhan,7
temsîlî,7
hayvânât,7
inkılâb,7
Kadîr-i Mutlak,7
takdim,7
zahiren,7
Kurân-ı Mucizül Beyan,7
muhtelif,7
gayet,7
gafil,7
Hüdâ,7
erzak,6
mâlikiyet,6
Mâlik,6
tahribat,6
sefine,6
menba,6
esmâ-i İlâhiye,6
zîruh,6
lem'a,6
zâhir,6
tâbi,6
ihsas,6
teşkil,6
ahkâm,6
muntazam,6
serseri,6
valide,6
Kerîm,6
ecnebî,6
saadet-i dâreyn,6
şekvâ,6
seciye,6
şuur,6
zillet,6
mükâfat,6
Ehl-i dalâlet,6
matlup,6
mânidar,6
mâruz,6
musibetzede,6
Kâinat,6
zaman-ı mazi,6
enâniyet,6
uhrevî,6
ittibâ,6
fena,6
şecere,6
aziz,6
itham,6
mâzi,6
vesika,6
Eski Said,6
ittifak,6
tekemmül,6
tesadüf,6
vakıa,6
lisan-ı hâl,6
nefy,6
kalb,6
zerre,6
hıyanet,6
Dua,6
risale,6
lisan,6
refika-i hayat,6
maddiyyun,6
mukaddime,6
zikir,6
ziynet,6
cüz-i ihtiyarî,6
mahrem,6
batman,6
kamer,6
mukabele,6
ibad,6
cereyan,6
iptal-i his,6
dergâh,6
tâun,6
sahrâ,6
Vâcibü'l-Vücud,6
mühim,6
vakıa-i hayaliye,6
mazi,6
derc,5
tahkir,5
birader,5
Hakikat,5
menfi,5
âlem-i berzah,5
heves,5
kaide,5
vahid-i kıyasî,5
evvelki,5
mektubât-ı Samedâniye,5
irade,5
fehm,5
hasse,5
nâzır,5
tahammül,5
dünyevî,5
şahs-ı mânevî,5
haps-i münferit,5
muhbir,5
dessas,5
suiistimal,5
tasarruf,5
ednâ,5
âsâr,5
binaen,5
meşru,5
hâlât,5
Hususan,5
meftun,5
câmid,5
bilhassa,5
vech,5
derd-i maişet,5
kafile,5
Cemaat,5
mufarakat,5
maslahat,5
gayr,5
farz,5
hayat-ı içtimaiye-i beşeriye,5
matlub,5
telezzüz,5
nesîm,5
istikamet,5
muharebe,5
temâşâ,5
dağdağalı,5
zindan-ı dünya,5
kudsî,5
iman,5
istiskal,5
tarafgirlik,5
makbul,5
zahirî,5
Mebhas,5
metâlib,5
Alîm,5
izhar,5
teveccüh,5
Yeni Said,5
